GeneID	NEGEDIA_47
__no_feature	3806375
__alignment_not_unique	749130
ENSG00000251562	50279
__ambiguous	32705
ENSG00000108821	30472
ENSG00000198886	24982
ENSG00000198938	21272
ENSG00000198763	16238
ENSG00000245532	15950
ENSG00000110484	14595
ENSG00000142156	12770
ENSG00000111341	11241
ENSG00000198034	11225
ENSG00000198899	10447
ENSG00000012223	10361
ENSG00000115414	9954
ENSG00000148513	8227
ENSG00000164692	7698
ENSG00000166441	7435
ENSG00000106211	7180
ENSG00000137818	7045
ENSG00000164587	7042
ENSG00000197746	6983
ENSG00000185499	6336
ENSG00000142534	6315
ENSG00000112306	6282
ENSG00000144713	5948
ENSG00000133112	5812
ENSG00000107485	5797
ENSG00000198840	5644
ENSG00000196405	5508
ENSG00000198727	5492
ENSG00000104447	5319
ENSG00000087086	5264
ENSG00000175356	5233
ENSG00000233927	5208
ENSG00000149273	5115
ENSG00000138326	5062
ENSG00000170561	4545
ENSG00000162889	4509
ENSG00000100219	4485
ENSG00000160862	4431
ENSG00000168710	4402
ENSG00000075624	4369
ENSG00000142937	4273
ENSG00000167658	4221
ENSG00000137154	4170
ENSG00000142089	4133
ENSG00000113140	4111
ENSG00000019582	4041
ENSG00000063177	3974
ENSG00000164403	3938
ENSG00000196126	3938
ENSG00000166710	3859
ENSG00000168542	3791
ENSG00000197756	3760
ENSG00000127022	3738
ENSG00000167978	3653
ENSG00000124935	3631
ENSG00000182899	3590
ENSG00000125534	3532
ENSG00000105372	3486
ENSG00000100234	3294
ENSG00000161970	3294
ENSG00000163191	3263
ENSG00000185650	3236
ENSG00000213741	3220
ENSG00000034510	3202
ENSG00000196230	3142
ENSG00000150991	3117
ENSG00000229807	3103
ENSG00000124614	3090
ENSG00000091831	3087
ENSG00000184009	3028
ENSG00000135404	2981
ENSG00000156482	2928
ENSG00000071082	2897
ENSG00000067225	2893
ENSG00000101439	2887
ENSG00000105193	2869
ENSG00000142676	2855
ENSG00000069275	2841
ENSG00000164128	2776
ENSG00000120885	2763
ENSG00000186493	2743
ENSG00000125691	2728
ENSG00000185201	2718
ENSG00000061273	2699
ENSG00000133110	2636
ENSG00000100201	2594
ENSG00000169045	2591
ENSG00000166913	2572
ENSG00000139644	2505
ENSG00000117984	2487
ENSG00000089280	2478
ENSG00000171345	2472
ENSG00000130985	2464
ENSG00000092841	2452
ENSG00000091986	2448
ENSG00000161016	2443
ENSG00000143947	2416
ENSG00000089220	2415
ENSG00000108298	2412
ENSG00000145592	2399
ENSG00000106153	2380
ENSG00000132475	2379
ENSG00000131469	2373
ENSG00000080824	2345
ENSG00000048828	2338
ENSG00000172757	2335
ENSG00000211592	2323
ENSG00000110700	2322
ENSG00000132424	2299
ENSG00000149806	2292
ENSG00000142173	2278
ENSG00000165119	2277
ENSG00000108107	2257
ENSG00000177600	2229
ENSG00000130522	2217
ENSG00000089157	2207
ENSG00000184900	2206
ENSG00000174748	2177
ENSG00000102265	2159
ENSG00000088832	2139
ENSG00000100650	2139
ENSG00000096384	2101
ENSG00000244754	2098
ENSG00000008988	2093
ENSG00000147403	2091
ENSG00000111640	2085
ENSG00000149591	2085
ENSG00000162599	2078
ENSG00000140264	2073
ENSG00000068697	2070
ENSG00000115648	2049
ENSG00000182492	2049
ENSG00000162576	2025
ENSG00000130635	2024
ENSG00000164733	2012
ENSG00000241553	2011
ENSG00000170889	2005
ENSG00000158710	1977
ENSG00000172809	1936
ENSG00000099622	1916
ENSG00000084207	1874
ENSG00000197958	1871
ENSG00000118816	1860
ENSG00000104763	1858
ENSG00000141905	1850
ENSG00000179218	1850
ENSG00000204628	1836
ENSG00000185630	1821
ENSG00000134871	1818
ENSG00000105221	1815
ENSG00000101443	1811
ENSG00000114861	1793
ENSG00000008441	1782
ENSG00000038427	1776
ENSG00000184007	1760
ENSG00000130402	1759
ENSG00000221983	1752
ENSG00000155506	1751
ENSG00000088247	1747
ENSG00000102316	1732
ENSG00000115268	1727
ENSG00000136942	1709
ENSG00000107796	1692
ENSG00000137497	1690
ENSG00000178980	1682
ENSG00000121716	1678
ENSG00000157227	1676
ENSG00000117450	1674
ENSG00000148303	1673
ENSG00000130255	1664
ENSG00000114353	1662
ENSG00000147604	1659
ENSG00000159763	1647
ENSG00000141753	1639
ENSG00000168961	1629
ENSG00000141424	1627
ENSG00000198712	1619
ENSG00000171858	1617
ENSG00000157514	1612
ENSG00000184840	1605
ENSG00000105438	1597
ENSG00000149925	1595
ENSG00000182718	1594
ENSG00000177954	1589
ENSG00000204287	1582
ENSG00000136238	1575
ENSG00000197111	1547
ENSG00000117362	1542
ENSG00000152082	1541
ENSG00000170315	1541
ENSG00000030582	1515
ENSG00000182670	1515
ENSG00000110321	1510
ENSG00000126247	1507
ENSG00000124225	1501
ENSG00000122406	1496
ENSG00000164040	1489
ENSG00000196924	1486
ENSG00000138696	1478
ENSG00000035862	1471
ENSG00000109475	1468
ENSG00000198755	1466
ENSG00000110651	1448
ENSG00000241343	1446
ENSG00000067560	1442
ENSG00000127603	1442
ENSG00000143222	1440
ENSG00000145675	1436
ENSG00000116754	1435
ENSG00000234745	1435
ENSG00000072110	1434
ENSG00000175274	1432
ENSG00000104904	1423
ENSG00000198804	1416
ENSG00000140416	1411
ENSG00000135390	1405
ENSG00000142541	1396
ENSG00000186340	1395
ENSG00000162734	1391
ENSG00000143321	1384
ENSG00000002834	1378
ENSG00000044574	1365
ENSG00000104368	1357
ENSG00000117360	1354
ENSG00000163359	1354
ENSG00000159140	1341
ENSG00000124766	1339
ENSG00000265972	1336
ENSG00000198918	1332
ENSG00000074410	1330
ENSG00000128272	1312
ENSG00000161996	1309
